Asset,Strategy,Feature Set,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Train Signal Accuracy,Train Signal Precision,Train Signal Recall,Test Sharpe,Test Volatility,Test Max DD,Test Signal Accuracy,Test Signal Precision,Test Signal Recall
DOCS,Momentum + Volume Ratio,,6.0,,0.1842896282448272,0.3556998552347733,-0.3958168291170897,0.5081761006289308,0.48412698412698413,0.15762273901808785,0.8258702034793631,0.48258882335202385,-0.28092496969696246,0.4750733137829912,0.5362318840579711,0.20108695652173914
DOCS,Logistic Regression,v1,,,-0.07814267552209334,0.17494080827286898,-0.2422270222731243,0.5169811320754717,0.5272727272727272,0.07493540051679587,-0.41265898123161554,0.09588413764229162,-0.10262550439754496,0.4604105571847507,0.5,0.03804347826086957
DOCS,Random Forest,v1,,,7.244729215537474,0.45257407728057863,0.0,0.9635220125786164,1.0,0.9250645994832042,-0.13955042417018665,0.4464350626501106,-0.4550937992383532,0.4633431085043988,0.5031847133757962,0.42934782608695654
IBM,Momentum,,12.0,,0.4267453750828798,0.17146003502876517,-0.2671531021925423,0.5099488345650938,0.5287958115183246,0.5507088331515813,1.7787677126751242,0.1785653487987672,-0.12380588578698913,0.5470198675496689,0.5952380952380952,0.5924170616113744
IBM,Mean Reversion,,6.0,8.0,0.7164024119167156,0.04301055687317735,-0.003506613961844573,0.48038658328595796,0.8,0.004362050163576881,,0.0,0.0,0.4410596026490066,0.0,0.0
IBM,Momentum + Trend Strength,,2.0,,-0.06794440572293564,0.12134838320345401,-0.3161291968549019,0.4860716316088687,0.5136268343815513,0.26717557251908397,0.7098723491306048,0.1300368847956348,-0.20233383604612734,0.4847682119205298,0.5587188612099644,0.37203791469194314
IBM,Momentum + Rolling Volatility,,12.0,8.0,0.4267453750828798,0.17146003502876517,-0.2671531021925423,0.5099488345650938,0.5287958115183246,0.5507088331515813,1.7787677126751242,0.1785653487987672,-0.12380588578698913,0.5470198675496689,0.5952380952380952,0.5924170616113744
IBM,Momentum + Volume Ratio,,12.0,,-0.18373925228037294,0.12363057309133184,-0.3113062191870125,0.48493462194428655,0.5180327868852459,0.1723009814612868,1.146014348090543,0.13632359408950528,-0.10923129164593944,0.4821192052980132,0.6026490066225165,0.2156398104265403
IBM,Logistic Regression,v1,,,0.20444489145068767,0.240945743021051,-0.3989001081679931,0.5179079022171689,0.5207456404088996,0.9443838604143948,1.0534367833405853,0.22182477188393726,-0.1857354469052619,0.5576158940397351,0.5604395604395604,0.966824644549763
IBM,Random Forest,v1,,,8.60073677320552,0.15000477928005726,0.0,0.9852188743604321,1.0,0.9716466739367503,0.27575695880490914,0.1652512323561353,-0.192315282645,0.48874172185430464,0.5424528301886793,0.5450236966824644
BE,Momentum,,8.0,,0.9829797941320416,0.6209012463816341,-0.4798135792897951,0.5156608097784569,0.4888888888888889,0.4967741935483871,1.209882428412978,0.7647548093538974,-0.504232334743819,0.5062388591800356,0.5162337662337663,0.554006968641115
BE,Mean Reversion,,2.0,14.000000000000002,0.5448079666771414,0.18908519387584902,0.0,0.5286478227654698,1.0,0.004838709677419355,-0.6708203932499369,0.06038568614903258,-0.09009814678366324,0.48663101604278075,0.0,0.0
BE,Momentum + Trend Strength,,24.0,,0.46101576701728664,0.5448874788820173,-0.51471531465629,0.5049656226126814,0.4680365296803653,0.33064516129032256,1.4429807709000315,0.7144013505780483,-0.36269978278606896,0.5276292335115864,0.5478260869565217,0.43902439024390244
BE,Momentum + Rolling Volatility,,8.0,16.0,1.0773077943670897,0.5995852868314497,-0.39335594535023016,0.5187165775401069,0.4918300653594771,0.4854838709677419,1.209882428412978,0.7647548093538974,-0.504232334743819,0.5062388591800356,0.5162337662337663,0.554006968641115
BE,Momentum + Volume Ratio,,8.0,,0.70936909837208,0.37546139724595,-0.5819913158255817,0.5255920550038197,0.4978165938864629,0.18387096774193548,0.3202615528282707,0.4220883832509896,-0.517461729009884,0.48484848484848486,0.49107142857142855,0.1916376306620209
BE,Logistic Regression,v1,,,-0.025357665092805935,0.2736777911473558,-0.3647607934925167,0.5317035905271199,0.5376344086021505,0.08064516129032258,-0.19280340386133624,0.20013131980406426,-0.23159534052897554,0.483065953654189,0.4482758620689655,0.04529616724738676
BE,Random Forest,v1,,,7.8763082191537155,0.6357070290048336,0.0,0.9778456837280367,1.0,0.9532258064516129,0.8344687432648534,0.6430661978094931,-0.3525468790344533,0.49019607843137253,0.5021459227467812,0.4076655052264808
XOM,Momentum,,22.0,,0.6347077910335215,0.21008850942135335,-0.28943036236927694,0.5304150085275725,0.5356004250797024,0.5643896976483762,-0.3694084825177804,0.15908527651684204,-0.27578626541704276,0.49271523178807947,0.5038560411311054,0.5077720207253886
