Asset,Strategy,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Test Sharpe,Test Volatility,Test Max DD
GLD,Momentum + Volume Ratio,48,,0.49446239738657416,0.07101680167620082,-0.1374848666278378,1.110553474101234,0.10833554610720988,-0.07704076992414269
JNJ,Momentum,42,,0.48205916086391537,0.12066064989921094,-0.17730887253369018,0.725421323642779,0.13287206903105978,-0.13327643329347016
JNJ,Mean Reversion,44,12.0,0.6722149415726935,0.06778208995270751,-0.07298367131868526,,0.0,0.0
JNJ,Momentum + Trend Strength,20,,0.42228004766029553,0.10160980880069638,-0.16508808159622837,0.8257876984663765,0.09416814739290467,-0.07199469039185281
JNJ,Momentum + Rolling Volatility,42,2.0,0.48657426599836856,0.11956690192840783,-0.17648438037350234,0.91082613822109,0.13023062322671103,-0.08616577055765219
JNJ,Momentum + Volume Ratio,34,,-0.05134317216405331,0.08168631549912315,-0.17527183807904903,0.032625180378381385,0.09661259804458568,-0.22532917760639512
SCCO,Momentum,36,,0.9016728837455997,0.23992076937921017,-0.4346091592032682,0.6039826764638466,0.2766679219175602,-0.23997312672083748
SCCO,Mean Reversion,4,6.0,0.8390364626701665,0.07895744856945218,-0.005603997975008546,-0.4106114714585678,0.028439898099510693,-0.047481145289966574
SCCO,Momentum + Trend Strength,24,,1.034499267636062,0.21895888701723942,-0.3095834578710529,0.512393804965101,0.24711748210386794,-0.3333779734602147
SCCO,Momentum + Rolling Volatility,36,6.0,0.9016728837455997,0.23992076937921017,-0.4346091592032682,0.6039826764638466,0.2766679219175602,-0.23997312672083748
SCCO,Momentum + Volume Ratio,42,,0.6728559187099454,0.16418292036156817,-0.2598314443268221,-0.3393538867212756,0.18062312196358982,-0.3424186283550612
ECL,Momentum,18,,0.18192361413136168,0.16206095297335887,-0.42146864047289057,0.4635826758322378,0.14593173539662135,-0.17902448806793228
ECL,Mean Reversion,20,8.0,0.5389903445491092,0.1299012226925263,-0.2612388767624635,0.33146524912295816,0.03266528192095495,-0.02031870239728517
ECL,Momentum + Trend Strength,18,,0.18128202200868418,0.11829786071022008,-0.33787445202650196,0.28457359970972024,0.13311605053190909,-0.1748137970640488
ECL,Momentum + Rolling Volatility,8,2.0,0.3534109215713121,0.13498092322287028,-0.2792742514768479,0.7328083947176491,0.1322923715642255,-0.09942957830357112
ECL,Momentum + Volume Ratio,18,,0.2933740322347472,0.10845993505576247,-0.29573218968665776,0.2838925092875196,0.10193325211374125,-0.1878238403059862
JPM,Momentum,48,,0.8387803731566981,0.1784028326873163,-0.21492235183171338,0.977318718194711,0.1795142595768951,-0.1704948003567702
JPM,Mean Reversion,20,22.0,0.723841352799803,0.09001718259252939,0.0,,0.0,0.0
JPM,Momentum + Trend Strength,6,,0.830801018973908,0.1419911277360799,-0.24040298949997566,1.325669802706144,0.12275426114155723,-0.13544972653163137
JPM,Momentum + Rolling Volatility,6,4.0,0.980041761998012,0.17141026874612034,-0.19963795743244667,2.0551580314257234,0.14494728591059683,-0.08799583238999685
JPM,Momentum + Volume Ratio,10,,0.6862455961197816,0.1154153488748043,-0.14292702932327206,0.7148614566169179,0.09432403357328635,-0.1263758616426783
META,Momentum,48,,0.49010505214623395,0.22483481680431072,-0.26866044048635,1.021790943230071,0.3001244152298358,-0.2628414884144861
META,Mean Reversion,14,2.0,0.832726202686248,0.23262009593026295,-0.2725689611513237,0.3346160848658399,0.2003405431285658,-0.2171067386706206
META,Momentum + Trend Strength,2,,0.5112477107690725,0.1713883971636002,-0.20857736385902872,0.9260109812237244,0.2406844189299032,-0.32652871609349127
META,Momentum + Rolling Volatility,48,4.0,0.561760070936454,0.2194963987384212,-0.2450757567618941,0.976265419867861,0.2962479074064245,-0.2628414884144864
META,Momentum + Volume Ratio,36,,0.044751859177967285,0.15255181530408093,-0.30357786114834767,0.7358042742316147,0.20211434715938195,-0.19572694109365787
